,Iteration,Particle,Seed,Fitness_vals,p_best_val,g_best_val,position,velocity,g_position
18,0,19,2,"[9.51375, 2.9763, 6.01238, 1.38885, 12.3941, 8.72378, 7.68675, 41.0667, 5.09403, 2.79925, 1.911, 34.6113, 6.51818, 4.82565, 13.0202, 4.83135, 1.75907, 34.7324, 5.62935, 5.5704]",inf,inf,"[ 8335.06880391 12876.83868296  4307.40663358    67.04771335
   440.82611787]",[0. 0. 0. 0. 0.],[8719.89804284  518.52463656 3748.31238939   93.53223926  210.18390104]
19,0,20,2,"[6.1038, 6.07643, 28.6492, 6.51728, 16.939, 2.3127, 8.70915, 26.7144, 15.0214, 3.89685, 100.0, 8.39078, 5.85127, 11.1765, 32.7979, 10.3865, 6.26392, 12.5987, 10.2107, 9.71895]",inf,inf,"[15560.16319617  2679.08416343  5344.58313216   124.87778783
   399.29282705]",[0. 0. 0. 0. 0.],[8719.89804284  518.52463656 3748.31238939   93.53223926  210.18390104]
20,0,21,2,"[2.57655, 2.79396, 3.54158, 4.22745, 58.2921, 61.1275, 16.3004, 82.0312, 4.41394, 2.21685]",inf,inf,"[10866.90461168  4416.75830123  5592.29323295   109.20845777
   173.11895473]",[0. 0. 0. 0. 0.],[8719.89804284  518.52463656 3748.31238939   93.53223926  210.18390104]
21,0,22,2,"[11.4704, 0.2157, 3.65425, 1.66901, 36.8533, 35.778, 8.82668, 46.1234, 6.30362, 15.938]",inf,inf,"[ 5275.5705856  18278.3095433   3098.67730653   104.01915157
   304.2210789 ]",[0. 0. 0. 0. 0.],[8719.89804284  518.52463656 3748.31238939   93.53223926  210.18390104]
22,0,23,2,"[0.152649, 1.17695, 0.828818, 0.868103, 69.8566, 47.2159, 0.807854, 49.4006, 1.6559, 2.51937]",inf,inf,"[16524.99656868 12471.26369124  1883.56080792   109.12573527
   244.6330835 ]",[0. 0. 0. 0. 0.],[8719.89804284  518.52463656 3748.31238939   93.53223926  210.18390104]
23,0,24,2,"[97.7406, 0.61654, 0.750055, 1.05935, 45.1959, 64.5394, 0.727369, 0.803802, 0.709886, 70.88]",inf,inf,"[10958.15560181 13990.41239581  2229.05581952    68.66271456
    55.2915739 ]",[0. 0. 0. 0. 0.],[8719.89804284  518.52463656 3748.31238939   93.53223926  210.18390104]
24,0,25,2,"[2.58928, 10.0271, 2.83375, 2.28027, 108.37, 2.46855, 4.51815, 48.0348, 1.86204, 100.0]",inf,inf,[5481.18505072  205.00078799 4146.79861415   79.51723052   93.64327235],[0. 0. 0. 0. 0.],[8719.89804284  518.52463656 3748.31238939   93.53223926  210.18390104]
25,1,1,2,"[6.52315, 35.4758, 17.6, 3.22406, 2.18362, 1.58147, 3.37208, 1.63427, 2.7819, 51.3336]",33.71062931962004,21.815072491547607,"[13537.67039756  4925.44882712  4152.24230527    80.83077491
   207.45296772]","[6.93097398e+03 8.32476146e+02 5.58874735e+01 8.65307545e-01
 7.40393302e+01]","[19291.02160179 10000.1672234   5447.60031973    84.16136527
   283.57206381]"
26,1,2,2,"[3.45392, 57.8743, 10.3049, 1.5624, 11.6141, 1.29617, 7.91048, 1.7756, 8.19053, 18.4596]",25.889561055343822,21.815072491547607,"[15684.37330706 10160.06657297  3606.6736191     96.3068954
   119.09331651]",[3261.69665167 -422.77531257 1933.77389238   -5.05091672   26.87338369],"[19291.02160179 10000.1672234   5447.60031973    84.16136527
   283.57206381]"
27,1,3,2,"[2.27552, 3.672, 3.26565, 3.15979, 19.3103, 1.57561, 12.1811, 2.95056, 1.51177, 8.36325]",72.82944592922124,21.815072491547607,"[18191.21884728 14579.2079457   4499.55131292   130.59609118
    58.93455488]","[ 2484.51589094 -2500.29790709  1028.36712601    -4.06005735
    19.11181638]","[19291.02160179 10000.1672234   5447.60031973    84.16136527
   283.57206381]"
28,1,4,2,"[4.5096, 13.3007, 15.2118, 1.33019, 15.9306, 1.50655, 6.3243, 1.54973, 0.226125, 47.0674]",35.87585437153727,21.815072491547607,"[12905.82608072  4674.24756359  4167.41224702    75.49985922
   135.87809977]",[2800.90427829 3368.51747586 1026.80060904   15.84676765   72.29811392],"[19291.02160179 10000.1672234   5447.60031973    84.16136527
   283.57206381]"
29,1,5,2,"[1.22488, 4.73093, 0.775029, 0.901563, 0.836231, 0.686061, 1.81613, 1.87405, 0.842855, 8.0649, 0.926019, 10.1615, 0.872891, 0.810197, 0.564611, 2.03326, 38.6421, 2.8806, 0.874185, 7.5564]",25.973577368987314,21.815072491547607,"[13805.33851981  6669.03662121  2169.26924439    72.94682796
   178.05915484]","[1.87043234e+03 2.14879661e+03 6.34540823e+02 9.16207254e-01
 3.14601234e+00]","[19291.02160179 10000.1672234   5447.60031973    84.16136527
   283.57206381]"
30,1,6,2,"[11.0949, 13.271, 11.0638, 7.09344, 12.5908, 2.18926, 6.79568, 2.57222, 6.30345, 7.3509]",36.307961139728654,21.815072491547607,"[16611.07218926  6683.7363594   4917.50268663    93.98697158
   257.17249902]","[ 7.25532250e+03  2.64887183e+03  7.15469061e+02 -4.32001197e+00
  4.55413901e+00]","[19291.02160179 10000.1672234   5447.60031973    84.16136527
   283.57206381]"
31,1,7,2,"[7.05605, 7.31363, 9.75833, 1.66999, 7.04933, 2.17743, 0.7086, 2.99858, 0.62505, 9.86115, 1.24767, 4.73618, 1.61986, 6.75188, 2.55098, 11.0709, 47.9321, 8.13473, 19.121, 2.79002]",28.123343623181185,21.815072491547607,"[14955.66878743 15434.89914254  4423.00741184    72.79949596
   319.29861389]","[ 7.21781577e+03 -4.37849946e+02  5.22986517e+02  6.56963611e+00
 -3.10775594e+01]","[19291.02160179 10000.1672234   5447.60031973    84.16136527
   283.57206381]"
32,1,8,2,"[13.2372, 16.1677, 12.4426, 2.87964, 12.0137, 4.14923, 2.98013, 5.2455, 16.6169, 10.682]",21.815072491547607,21.815072491547607,"[19291.02160179 10000.1672234   5447.60031973    84.16136527
   283.57206381]",[0. 0. 0. 0. 0.],"[19291.02160179 10000.1672234   5447.60031973    84.16136527
   283.57206381]"
33,1,9,2,"[46.9702, 0.666075, 8.79263, 12.6076, 1.8426, 22.5925, 5.91345, 21.3865, 100.0, 23.3263]",26.962314523732978,21.815072491547607,"[10940.26711799  8744.24971776  5233.31364941   101.95464735
   468.54158988]","[ 2.38934785e+03  9.30445723e+00  3.50517724e+02 -1.60577000e+00
 -8.32952359e+00]","[19291.02160179 10000.1672234   5447.60031973    84.16136527
   283.57206381]"
34,1,10,2,"[7.1616, 9.98865, 6.7923, 1.59436, 46.0756, 3.05755, 35.914, 1.35676, 0.815249, 30.6814]",28.582428776193602,21.815072491547607,"[13192.09209509  4923.44329048  2845.02452522   129.43393905
   215.7991165 ]",[2307.92889213 3281.54484498   13.31251684   -5.65111135   12.66159497],"[19291.02160179 10000.1672234   5447.60031973    84.16136527
   283.57206381]"
35,1,11,2,"[5.21728, 15.0525, 2.03224, 2.55371, 13.1325, 1.67854, 46.6389, 0.804743, 0.66483, 10.9203]",32.157300632410625,21.815072491547607,"[14068.16084598  5168.94953581  1980.44297167   121.84330237
   368.69807288]","[13524.11352809   225.40475587   644.72111798   -27.54189877
  -116.59208381]","[19291.02160179 10000.1672234   5447.60031973    84.16136527
   283.57206381]"
36,1,12,2,"[7.61645, 6.64208, 4.07483, 3.20789, 8.69603, 3.35339, 9.14798, 4.40527, 2.00641, 10.3637, 0.3537, 42.4589, 4.15612, 1.62255, 1.97473, 8.22744, 72.08, 13.1555, 6.40065, 3.43931]",22.44766332079529,21.815072491547607,"[18141.72733433 10824.1736065   4849.43052667    79.54959064
   209.69250241]","[ 2136.56031168 -1212.16882161    24.63122441    12.62704598
    63.1808865 ]","[19291.02160179 10000.1672234   5447.60031973    84.16136527
   283.57206381]"
37,1,13,2,"[4.01008, 5.35695, 2.02022, 2.92494, 9.3423, 2.85861, 1.73874, 0.487422, 6.29348, 14.7737, 1.23419, 38.0599, 0.712643, 5.29523, 1.96098, 5.46668, 87.2114, 37.636, 48.1689, 8.14365]",47.958861400526544,21.815072491547607,"[15797.44269809  8904.77947686  2958.64979914   110.18617576
   239.82909915]",[5316.10519208 1772.29385441 1730.25497291  -38.12916878   19.15163947],"[19291.02160179 10000.1672234   5447.60031973    84.16136527
   283.57206381]"
38,1,14,2,"[5.41686, 14.6264, 3.96773, 2.24683, 6.23708, 2.90937, 2.51438, 1.24006, 4.65435, 4.08563, 6.44993, 35.1345, 1.6866, 2.85848, 0.118099, 5.9007, 52.2007, 33.7766, 37.5931, 3.66908]",25.297601192000485,21.815072491547607,"[13944.33161942  8359.83290094  2753.56711582    86.82578765
   387.2752577 ]","[ 3.86432283e+03  1.88900655e+03  4.54843352e+02 -1.86320088e+00
 -2.87331921e+01]","[19291.02160179 10000.1672234   5447.60031973    84.16136527
   283.57206381]"
39,1,15,2,"[7.80438, 0.477525, 1.05907, 2.62669, 35.7437, 2.34188, 7.6152, 3.14722, 0.717, 39.1331]",33.67586829933045,21.815072491547607,"[15615.92310814  8427.85282639  3754.70296784   125.71953954
   242.75555811]",[ 880.9819824   843.64148756 2689.61628437   -4.02095436  108.06115931],"[19291.02160179 10000.1672234   5447.60031973    84.16136527
   283.57206381]"
40,1,16,2,"[10.8691, 40.6381, 3.30473, 4.13152, 7.79588, 2.65588, 2.39503, 2.09793, 2.33033, 14.327]",27.10164511839048,21.815072491547607,"[12151.55257281  3855.70081737  4812.66476686    86.59524067
   266.74105189]","[ 4.97854802e+02  3.34468198e+03  5.01654671e+02 -2.15710192e+00
  1.82041525e+01]","[19291.02160179 10000.1672234   5447.60031973    84.16136527
   283.57206381]"
41,1,17,2,"[4.39641, 49.3224, 1.90522, 2.01996, 9.60443, 1.73976, 0.33, 5.50926, 2.17447, 7.9824]",38.984880700507325,21.815072491547607,"[16217.36770645  8606.87234237  4692.36678333   101.23556443
   102.00832084]",[7919.25095896 1589.43431634  937.47725671  -46.05550456   45.62021322],"[19291.02160179 10000.1672234   5447.60031973    84.16136527
   283.57206381]"
