,Iteration,Particle,Seed,Fitness_vals,p_best_val,g_best_val,position,velocity,g_position
17,0,18,1,"[1.24116, 1.85755, 1.6164, 0.962074, 0.64915, 0.776601, 1.4442, 4.36945, 1.21396, 38.3295]",inf,inf,"[ 2294.91945907 18989.78517414  3249.5606674    107.83896144
   204.06840138]",[0. 0. 0. 0. 0.],"[ 8340.44009405 14406.48986884  1000.57187409    80.23325726
    73.37794541]"
18,0,19,1,"[0.2362, 3.55462, 0.989875, 0.1906, 0.403, 5.12965, 1.16293, 4.4805, 1.06454, 1.94168, 3.1687, 1.00345, 4.62515, 1.56261, 0.0996, 26.7557, 1.13762, 1.02741, 5.2574, 3.52325]",inf,inf,"[ 4740.53960486 18067.59041125  3868.39743336    50.2870327
   308.57245681]",[0. 0. 0. 0. 0.],"[ 8340.44009405 14406.48986884  1000.57187409    80.23325726
    73.37794541]"
19,0,20,1,"[2.77652, 1.81167, 4.84032, 1.0245, 2.09132, 1.63255, 1.91172, 7.9743, 4.02105, 6.14345, 0.89655, 6.72235, 0.93895, 3.76674, 4.04, 6.99915, 0.24595, 1.89003, 2.71795, 3.14758]",inf,inf,"[ 6532.89803544 10541.16204515  5429.71049655    85.726976
   454.26757546]",[0. 0. 0. 0. 0.],"[ 8340.44009405 14406.48986884  1000.57187409    80.23325726
    73.37794541]"
20,0,21,1,"[11.2006, 0.76195, 8.27575, 10.4715, 3.2848, 4.60075, 5.2642, 10.1675, 5.3377, 6.0459]",inf,inf,"[12467.20231584   316.42485693  5647.18616872   119.08969175
   498.66142523]",[0. 0. 0. 0. 0.],"[ 8340.44009405 14406.48986884  1000.57187409    80.23325726
    73.37794541]"
21,0,22,1,"[7.92075, 1.88323, 1.016, 1.24931, 4.857, 1.37262, 1.2874, 1.22749, 1.09519, 28.0825]",inf,inf,[3446.81016691 2742.71499258 5662.97731519  119.68181615   33.00008636],[0. 0. 0. 0. 0.],"[ 8340.44009405 14406.48986884  1000.57187409    80.23325726
    73.37794541]"
22,0,23,1,"[2.95935, 1.57618, 1.22741, 0.950045, 29.6654, 5.73855, 4.20825, 26.9314, 1.25374, 2.1167]",inf,inf,"[15109.26105205 15077.52376922  5615.12267773   121.15247586
    62.13548099]",[0. 0. 0. 0. 0.],"[ 8340.44009405 14406.48986884  1000.57187409    80.23325726
    73.37794541]"
23,0,24,1,"[0.438818, 2.26043, 0.0901709, 1.24819, 62.3401, 35.0095, 3.7145, 1.22229, 4.6985, 0.55144]",inf,inf,[ 397.6026768   524.21973755 1141.5324401    74.62110676  430.01397434],[0. 0. 0. 0. 0.],"[ 8340.44009405 14406.48986884  1000.57187409    80.23325726
    73.37794541]"
24,0,25,1,"[0.21885, 2.92475, 1.29693, 1.29925, 0.637, 1.66058, 2.10465, 0.81385, 1.06832, 36.8533]",inf,inf,"[10776.62128683 11056.43957372  5210.1544618     62.41733151
   139.59183951]",[0. 0. 0. 0. 0.],"[ 8340.44009405 14406.48986884  1000.57187409    80.23325726
    73.37794541]"
25,1,1,1,"[2.93839, 1.07334, 2.4485, 1.03743, 7.41785, 0.969586, 5.65505, 33.4739, 0.990649, 0.755318]",9.5131821,2.0886595,[3263.92302901 9935.96230384 3478.2722092    74.07601411  271.59236728],"[ 1.41715113e+03  6.21075808e+03  7.50468574e+02 -1.56007333e+01
  2.18400028e+00]","[ 6310.31262012 13730.01855363  5173.12835949    51.82882773
   375.07215747]"
26,1,2,1,"[1.06859, 47.8996, 1.532, 0.516035, 4.2004, 1.8526, 1.04245, 0.92154, 1.05422, 45.5347]",20.996948460000002,2.0886595,"[ 7678.617966   13706.96647826  2974.87783687   124.6914875
    84.78957035]",[-705.27232207    2.57647032  952.61658821  -13.12025614   71.09577375],"[ 6310.31262012 13730.01855363  5173.12835949    51.82882773
   375.07215747]"
27,1,3,1,"[1.91887, 1.07124, 8.7441, 1.23393, 4.12515, 3.1884, 1.02334, 0.58375, 0.9452, 1.09656]",10.321874500000002,2.0886595,"[ 9550.36693133 10531.53863378  4079.96492198    62.56753922
   299.84088179]","[-3.85898327e+03  2.18544259e+03  2.86515780e+02 -1.47115464e+00
  2.00790137e+02]","[ 6310.31262012 13730.01855363  5173.12835949    51.82882773
   375.07215747]"
28,1,4,1,"[5.75376, 4.5732, 1.8044, 1.56741, 0.15645, 3.3494, 0.7511, 3.46014, 1.99302, 0.6024]",5.6008879,2.0886595,"[ 9338.40051118 19197.89579559  3600.25156674    96.01164973
   435.24283397]","[-6.67649086e+03 -1.67335719e+02  1.03313068e+03 -2.32206118e+01
 -2.95174218e+00]","[ 6310.31262012 13730.01855363  5173.12835949    51.82882773
   375.07215747]"
29,1,5,1,"[1.68303, 35.1019, 1.08465, 1.34059, 3.01423, 1.19402, 1.0164, 0.690879, 3.3206, 1.01643]",12.6408721,2.0886595,"[13466.46582882  6310.04749017  3441.85733441    65.30181029
   399.72972598]","[-4.42566744e+03  4.60916326e+03  2.24658342e+03 -1.68123166e+00
 -3.93415257e+01]","[ 6310.31262012 13730.01855363  5173.12835949    51.82882773
   375.07215747]"
30,1,6,1,"[4.70498, 2.65335, 1.3289, 4.39916, 1.06, 2.83705, 1.6512, 1.68991, 2.06375, 1.29363, 3.35419, 4.68495, 2.06162, 5.81665, 1.76412, 1.94013, 8.38235, 2.7645, 1.40515, 1.93846]",7.279903,2.0886595,"[ 2232.59693395 11826.72516876  5391.3284253     69.4683687
   356.2498789 ]",[ 265.66025729 3404.57266866 -398.11922546  -33.8481598    10.31132193],"[ 6310.31262012 13730.01855363  5173.12835949    51.82882773
   375.07215747]"
31,1,7,1,"[2.8224, 1.42684, 1.94199, 1.57185, 3.16905, 1.25201, 0.18725, 5.86665, 0.926, 0.371, 3.6965, 3.20265, 2.64001, 0.5751, 2.16883, 1.26978, 1.36745, 4.86305, 2.51645, 0.9949]",2.0886595,2.0886595,"[ 6310.31262012 13730.01855363  5173.12835949    51.82882773
   375.07215747]",[0. 0. 0. 0. 0.],"[ 6310.31262012 13730.01855363  5173.12835949    51.82882773
   375.07215747]"
32,1,8,1,"[1.2896, 2.21705, 4.5852, 1.10912, 12.9117, 3.18399, 1.1961, 0.962776, 2.5944, 0.83525]",10.9999949,2.0886595,"[19529.86148136 14340.38228934  4312.25274211    81.1173131
   266.43523065]",[-247.36029677 -622.93079825 1910.03278179  -47.81061974  214.82222736],"[ 6310.31262012 13730.01855363  5173.12835949    51.82882773
   375.07215747]"
