,Timestamp,ROV Number,Marker ID,X Meter,Y Meter,Energy,Alpha,Beta,Belief,d_f,Swarm Send,Swarm Recv,Collision Time,Sense Time
0,0.0,1,10.0,0.2243723849372385,0.3512591815320042,None,None,None,None,None,None,None,None,None
1,0.0,2,11.0,0.3464958158995816,0.6765477439664218,None,None,None,None,None,None,None,None,None
2,0.0,5,14.0,0.49215481171548114,0.25918153200419725,None,None,None,None,None,None,None,None,None
3,0.0,3,6.0,0.7209728033472803,0.5322665267576075,None,None,None,None,None,None,None,None,None
4,0.0,4,39.0,0.8478033472803347,0.30220356768100737,None,None,None,None,None,None,None,None,None
5,0.06,1,10.0,0.2243723849372385,0.3512591815320042,None,None,None,None,None,None,None,None,None
6,0.06,2,11.0,0.3464958158995816,0.6765477439664218,None,None,None,None,None,None,None,None,None
7,0.06,5,14.0,0.49215481171548114,0.25970619097586567,None,None,None,None,None,None,None,None,None
8,0.06,3,6.0,0.7209728033472803,0.5322665267576075,None,None,None,None,None,None,None,None,None
9,0.06,4,39.0,0.8478033472803347,0.30220356768100737,None,None,None,None,None,None,None,None,None
10,0.11,1,10.0,0.2243723849372385,0.3512591815320042,None,None,None,None,None,None,None,None,None
11,0.11,2,11.0,0.3464958158995816,0.6765477439664218,None,None,None,None,None,None,None,None,None
12,0.11,5,14.0,0.49215481171548114,0.25944386149003146,None,None,None,None,None,None,None,None,None
13,0.11,3,6.0,0.7209728033472803,0.5322665267576075,None,None,None,None,None,None,None,None,None
14,0.11,4,39.0,0.8478033472803347,0.30220356768100737,None,None,None,None,None,None,None,None,None
15,0.15,1,10.0,0.2243723849372385,0.3512591815320042,None,None,None,None,None,None,None,None,None
16,0.15,2,11.0,0.3464958158995816,0.6765477439664218,None,None,None,None,None,None,None,None,None
17,0.15,5,14.0,0.49215481171548114,0.25944386149003146,None,None,None,None,None,None,None,None,None
18,0.15,3,6.0,0.7209728033472803,0.5322665267576075,None,None,None,None,None,None,None,None,None
19,0.15,4,39.0,0.8478033472803347,0.30220356768100737,None,None,None,None,None,None,None,None,None
20,0.47,1,10.0,0.2243723849372385,0.3512591815320042,None,None,None,None,None,None,None,None,None
21,0.47,2,11.0,0.3464958158995816,0.6765477439664218,None,None,None,None,None,None,None,None,None
22,0.47,5,14.0,0.49215481171548114,0.25970619097586567,None,None,None,None,None,None,None,None,None
