,Timestamp,ROV Number,Marker ID,X Meter,Y Meter,Energy,Alpha,Beta,Belief,d_f,Swarm Send,Swarm Recv,Collision Time,Sense Time
65,2.49,3,6.0,0.26570680628272253,0.6435669456066946,None,None,None,None,None,None,None,None,None
66,2.49,5,14.0,0.5717277486910994,0.20580543933054393,None,None,None,None,None,None,None,None,None
67,2.49,4,39.0,0.5308900523560209,0.606694560669456,None,None,None,None,None,None,None,None,None
68,2.49,2,11.0,0.7633507853403141,0.48221757322175735,None,None,None,None,None,None,None,None,None
69,2.72,1,10.0,0.30392670157068064,0.25418410041841005,None,None,None,None,None,None,None,None,None
70,2.72,3,6.0,0.268586387434555,0.625,None,None,None,None,None,None,None,None,None
71,2.72,5,14.0,0.5751308900523561,0.1969142259414226,None,None,None,None,None,None,None,None,None
72,2.72,4,39.0,0.5311518324607329,0.6171548117154811,None,None,None,None,None,None,None,None,None
73,2.94,1,10.0,0.3018324607329843,0.2405857740585774,None,None,None,None,None,None,None,None,None
74,2.94,3,6.0,0.27277486910994764,0.6072175732217573,None,None,None,None,None,None,None,None,None
75,2.94,5,14.0,0.5696335078534032,0.19142259414225943,None,None,None,None,None,None,None,None,None
76,2.94,4,39.0,0.5342931937172775,0.6171548117154811,None,None,None,None,None,None,None,None,None
77,2.94,2,11.0,0.7727748691099476,0.5146443514644351,None,None,None,None,None,None,None,None,None
78,3.17,1,10.0,0.3,0.22751046025104602,None,None,None,None,None,None,None,None,None
79,3.17,3,6.0,0.275130890052356,0.5910041841004184,None,None,None,None,None,None,None,None,None
80,3.17,4,39.0,0.5369109947643979,0.6182008368200836,None,None,None,None,None,None,None,None,None
81,3.17,5,14.0,0.5780104712041885,0.19063807531380753,None,None,None,None,None,None,None,None,None
82,3.17,2,11.0,0.7780104712041885,0.5303347280334728,None,None,None,None,None,None,None,None,None
83,3.38,3,6.0,0.2774869109947644,0.5755753138075314,None,None,None,None,None,None,None,None,None
84,3.38,1,10.0,0.2976439790575916,0.2160041841004184,None,None,None,None,None,None,None,None,None
85,3.38,4,39.0,0.537434554973822,0.62081589958159,None,None,None,None,None,None,None,None,None
86,3.38,5,14.0,0.5905759162303665,0.18906903765690378,None,None,None,None,None,None,None,None,None
87,3.38,2,11.0,0.7821989528795812,0.5460251046025104,None,None,None,None,None,None,None,None,None
88,3.61,3,6.0,0.2774869109947644,0.5740062761506276,None,None,None,None,None,None,None,None,None
89,3.61,1,10.0,0.2973821989528796,0.2157426778242678,None,None,None,None,None,None,None,None,None
90,3.61,4,39.0,0.5256544502617801,0.6223849372384938,None,None,None,None,None,None,None,None,None
91,3.61,2,11.0,0.7821989528795812,0.546286610878661,None,None,None,None,None,None,None,None,None
92,3.84,3,6.0,0.2774869109947644,0.5740062761506276,None,None,None,None,None,None,None,None,None
93,3.84,1,10.0,0.2973821989528796,0.2160041841004184,None,None,None,None,None,None,None,None,None
94,3.84,4,39.0,0.512565445026178,0.625,None,None,None,None,None,None,None,None,None
95,3.84,5,14.0,0.6178010471204188,0.18436192468619247,None,None,None,None,None,None,None,None,None
96,3.84,2,11.0,0.7827225130890052,0.5460251046025104,None,None,None,None,None,None,None,None,None
97,4.06,3,6.0,0.2774869109947644,0.5740062761506276,None,None,None,None,None,None,None,None,None
98,4.06,1,10.0,0.2973821989528796,0.2157426778242678,None,None,None,None,None,None,None,None,None
99,4.06,4,39.0,0.4986910994764398,0.6276150627615062,None,None,None,None,None,None,None,None,None
100,4.06,5,14.0,0.631675392670157,0.18200836820083682,None,None,None,None,None,None,None,None,None
101,4.06,2,11.0,0.7824607329842932,0.546286610878661,None,None,None,None,None,None,None,None,None
102,4.29,3,6.0,0.2774869109947644,0.5740062761506276,None,None,None,None,None,None,None,None,None
103,4.29,1,10.0,0.2973821989528796,0.2157426778242678,None,None,None,None,None,None,None,None,None
104,4.29,4,39.0,0.48429319371727747,0.6299686192468619,None,None,None,None,None,None,None,None,None
105,4.29,5,14.0,0.6458115183246074,0.1799163179916318,None,None,None,None,None,None,None,None,None
106,4.29,2,11.0,0.7824607329842932,0.546286610878661,None,None,None,None,None,None,None,None,None
107,4.51,3,6.0,0.2780104712041885,0.5685146443514645,None,None,None,None,None,None,None,None,None
108,4.51,1,10.0,0.2963350785340314,0.20998953974895398,None,None,None,None,None,None,None,None,None
109,4.51,4,39.0,0.474869109947644,0.6323221757322176,None,None,None,None,None,None,None,None,None
110,4.51,5,14.0,0.6589005235602095,0.17782426778242677,None,None,None,None,None,None,None,None,None
111,4.51,2,11.0,0.7845549738219896,0.553347280334728,None,None,None,None,None,None,None,None,None
