,Timestamp,ROV Number,Marker ID,X Meter,Y Meter,Energy,Alpha,Beta,Belief,d_f,Swarm Send,Swarm Recv,Collision Time,Sense Time
0,0.0,5,14.0,0.4591194968553459,0.3174686192468619,None,None,None,None,None,None,None,None,None
1,0.0,2,11.0,0.2418763102725367,0.13519874476987448,None,None,None,None,None,None,None,None,None
2,0.0,3,6.0,0.6829140461215933,0.551255230125523,None,None,None,None,None,None,None,None,None
3,0.0,1,10.0,0.7182914046121593,0.30360878661087864,None,None,None,None,None,None,None,None,None
4,0.0,4,39.0,0.8768343815513627,0.8284518828451883,None,None,None,None,None,None,None,None,None
5,0.07,5,14.0,0.4591194968553459,0.3174686192468619,None,None,None,None,None,None,None,None,None
6,0.07,2,11.0,0.24161425576519915,0.13493723849372385,None,None,None,None,None,None,None,None,None
7,0.07,3,6.0,0.6829140461215933,0.551255230125523,None,None,None,None,None,None,None,None,None
8,0.07,1,10.0,0.7180293501048218,0.30387029288702927,None,None,None,None,None,None,None,None,None
9,0.07,4,39.0,0.8765723270440252,0.8281903765690377,None,None,None,None,None,None,None,None,None
10,0.13,2,11.0,0.24161425576519915,0.13519874476987448,None,None,None,None,None,None,None,None,None
11,0.13,5,14.0,0.4591194968553459,0.3174686192468619,None,None,None,None,None,None,None,None,None
12,0.13,3,6.0,0.6829140461215933,0.551255230125523,None,None,None,None,None,None,None,None,None
13,0.13,1,10.0,0.7180293501048218,0.30387029288702927,None,None,None,None,None,None,None,None,None
14,0.13,4,39.0,0.8770964360587002,0.8281903765690377,None,None,None,None,None,None,None,None,None
15,0.18,2,11.0,0.2418763102725367,0.13493723849372385,None,None,None,None,None,None,None,None,None
16,0.18,5,14.0,0.4591194968553459,0.3174686192468619,None,None,None,None,None,None,None,None,None
17,0.18,3,6.0,0.6829140461215933,0.551255230125523,None,None,None,None,None,None,None,None,None
18,0.18,1,10.0,0.7180293501048218,0.30387029288702927,None,None,None,None,None,None,None,None,None
19,0.18,4,39.0,0.8768343815513627,0.8284518828451883,None,None,None,None,None,None,None,None,None
20,0.51,2,11.0,0.24213836477987422,0.13519874476987448,None,None,None,None,None,None,None,None,None
21,0.51,5,14.0,0.4591194968553459,0.3174686192468619,None,None,None,None,None,None,None,None,None
22,0.51,3,6.0,0.6829140461215933,0.551255230125523,None,None,None,None,None,None,None,None,None
23,0.51,1,10.0,0.7180293501048218,0.30387029288702927,None,None,None,None,None,None,None,None,None
24,0.51,4,39.0,0.8768343815513627,0.8284518828451883,None,None,None,None,None,None,None,None,None
25,0.72,2,11.0,0.24161425576519915,0.13519874476987448,None,None,None,None,None,None,None,None,None
26,0.72,5,14.0,0.4591194968553459,0.3174686192468619,None,None,None,None,None,None,None,None,None
