,Iteration,Particle,Seed,Fitness_vals,p_best_val,g_best_val,position,velocity,g_position
0,0,1,2,"[1.0279, 1.15277, 1.40346, 1.25563, 3.05227, 1.04509, 1.11277, 1.70127, 39.5861, 2.27029]",inf,inf,[6606.69642008 4092.97268076 4096.35483175   79.96546737  133.41363755],[0. 0. 0. 0. 0.],[8719.89804284  518.52463656 3748.31238939   93.53223926  210.18390104]
1,0,2,2,"[0.190853, 39.1039, 0.495021, 0.507656, 25.1005]",inf,inf,"[12422.67665539 10582.84188554  1672.89972672   101.35781213
    92.21993282]",[0. 0. 0. 0. 0.],[8719.89804284  518.52463656 3748.31238939   93.53223926  210.18390104]
2,0,3,2,"[0.774219, 0.31745, 1.20882, 1.06633, 31.7382]",inf,inf,"[15706.70295633 17079.50585279  3471.18418691   134.65614854
    39.8227385 ]",[0. 0. 0. 0. 0.],[8719.89804284  518.52463656 3748.31238939   93.53223926  210.18390104]
3,0,4,2,"[1.11269, 44.7163, 1.02463, 0.766795, 26.5945]",inf,inf,"[10104.92180243  1305.73008774  3140.61163799    59.65309157
    63.57998585]",[0. 0. 0. 0. 0.],[8719.89804284  518.52463656 3748.31238939   93.53223926  210.18390104]
4,0,5,2,"[0.49392, 0.781262, 0.44076, 0.502528, 1.10835, 0.689689, 1.45613, 0.170932, 0.230523, 0.465362]",inf,inf,"[11934.90617957  4520.24001208  1534.72842155    72.03062071
   174.9131425 ]",[0. 0. 0. 0. 0.],[8719.89804284  518.52463656 3748.31238939   93.53223926  210.18390104]
5,0,6,2,"[1.82092, 1.12265, 1.15556, 0.8137, 0.33605, 0.510025, 1.6556, 2.75855, 0.542425, 45.5132]",inf,inf,[9355.74969165 4034.8645253  4202.03362607   98.30698356  252.61836001],[0. 0. 0. 0. 0.],[8719.89804284  518.52463656 3748.31238939   93.53223926  210.18390104]
6,0,7,2,"[2.9259, 1.61377, 1.50668, 2.6493, 1.6194, 2.4247, 1.71275, 2.71101, 0.965599, 2.58711]",inf,inf,"[ 7737.85302237 15872.74908883  3900.02089439    66.22985985
   350.3761733 ]",[0. 0. 0. 0. 0.],[8719.89804284  518.52463656 3748.31238939   93.53223926  210.18390104]
7,0,8,2,"[4.45515, 0.391, 2.32744, 2.20884, 0.59545, 2.31865, 3.59115, 0.969375, 1.4156, 2.88963]",inf,inf,"[19291.02160179 10000.1672234   5447.60031973    84.16136527
   283.57206381]",[0. 0. 0. 0. 0.],[8719.89804284  518.52463656 3748.31238939   93.53223926  210.18390104]
8,0,9,2,"[0.295, 2.26152, 2.81099, 3.12997, 3.80638]",inf,inf,[8550.91926592 8734.94526054 4882.79592499  103.56041735  476.87111347],[0. 0. 0. 0. 0.],[8719.89804284  518.52463656 3748.31238939   93.53223926  210.18390104]
9,0,10,2,"[2.96858, 0.909231, 0.916784, 0.809286, 34.9013]",inf,inf,"[10884.16320296  1641.8984455   2831.71200838   135.0850504
   203.13752152]",[0. 0. 0. 0. 0.],[8719.89804284  518.52463656 3748.31238939   93.53223926  210.18390104]
10,0,11,2,"[25.9951, 0.304319, 1.83528, 0.443695, 31.3447]",inf,inf,[ 544.0473179  4943.54477995 1335.72185368  149.38520114  485.29015669],[0. 0. 0. 0. 0.],[8719.89804284  518.52463656 3748.31238939   93.53223926  210.18390104]
11,0,12,2,"[0.962875, 1.31478, 1.92883, 1.44024, 0.268425, 1.21563, 0.237315, 1.92875, 0.17555, 4.92127]",inf,inf,"[16005.16702265 12036.34242811  4824.79930226    66.92254466
   146.51161591]",[0. 0. 0. 0. 0.],[8719.89804284  518.52463656 3748.31238939   93.53223926  210.18390104]
12,0,13,2,"[62.9696, 1.07556, 1.6766, 0.751837, 36.0545]",inf,inf,"[10481.33750601  7132.48562246  1228.39482623   148.31534454
   220.67745968]",[0. 0. 0. 0. 0.],[8719.89804284  518.52463656 3748.31238939   93.53223926  210.18390104]
