,Iteration,Particle,Seed,Fitness_vals,p_best_val,g_best_val,position,velocity,g_position
0,0,1,1,"[3.0177, 0.524939, 0.692403, 2.28117, 10.7441, 0.688016, 61.3082, 8.04292, 0.961872, 0.749327]",inf,inf,[1846.77189538 3725.20422755 2727.80363522   89.67674742  269.408367  ],[0. 0. 0. 0. 0.],"[ 8340.44009405 14406.48986884  1000.57187409    80.23325726
    73.37794541]"
1,0,2,1,"[45.7609, 0.531633, 0.181087, 0.567082, 76.6194, 0.486723, 0.212861, 43.0671, 0.416127, 0.620374]",inf,inf,"[8.38389029e+03 1.37043900e+04 2.02226125e+03 1.37811744e+02
 1.36937966e+01]",[0. 0. 0. 0. 0.],"[ 8340.44009405 14406.48986884  1000.57187409    80.23325726
    73.37794541]"
2,0,3,1,"[1.1437, 1.34206, 0.868885, 5.09873, 0.831222, 1.00942, 0.740952, 1.01325, 1.03629, 4.2471, 2.09618, 1.03705, 11.5132, 1.60441, 0.2901, 7.2174, 2.29875, 0.88003, 8.5929, 1.15347]",inf,inf,"[13409.35020357  8346.09604734  3793.44914223    64.03869386
    99.05074454]",[0. 0. 0. 0. 0.],"[ 8340.44009405 14406.48986884  1000.57187409    80.23325726
    73.37794541]"
3,0,4,1,"[0.536115, 2.94778, 1.91766, 0.875805, 33.2364, 0.703322, 7.10265, 31.105, 3.05262, 8.75555]",inf,inf,"[16014.89137351 19365.23151439  2567.1208908    119.23226157
   438.19457615]",[0. 0. 0. 0. 0.],"[ 8340.44009405 14406.48986884  1000.57187409    80.23325726
    73.37794541]"
4,0,5,1,"[0.699132, 2.15885, 0.482199, 0.315956, 25.614, 0.425487, 32.9978, 0.322515, 0.678035, 1.32301]",inf,inf,"[17892.13327008  1700.8842274   1195.27391616    66.98304196
   439.07125171]",[0. 0. 0. 0. 0.],"[ 8340.44009405 14406.48986884  1000.57187409    80.23325726
    73.37794541]"
5,0,6,1,"[1.51701, 1.52707, 3.53836, 1.20113, 38.0515, 0.879825, 1.47048, 41.0898, 6.93228, 8.29058]",inf,inf,[1966.93667666 8422.1525001  5789.44765075  103.3165285   345.93855698],[0. 0. 0. 0. 0.],"[ 8340.44009405 14406.48986884  1000.57187409    80.23325726
    73.37794541]"
6,0,7,1,"[1.46348, 1.74432, 1.37216, 1.2474, 3.39383, 2.73367, 1.26472, 10.0743, 4.05457, 1.49437, 4.65735, 0.756675, 2.00399, 3.08751, 1.58429, 6.58943, 1.20022, 2.05305, 16.2271, 0.989925]",inf,inf,"[ 6310.31262012 13730.01855363  5173.12835949    51.82882773
   375.07215747]",[0. 0. 0. 0. 0.],"[ 8340.44009405 14406.48986884  1000.57187409    80.23325726
    73.37794541]"
7,0,8,1,"[0.66533, 0.59465, 0.433401, 51.5069, 59.0091, 0.522877, 0.909058, 57.2245, 1.10855, 0.790829]",inf,inf,"[19777.22177813 14963.3130876   2402.21996032   128.92793285
    51.61300329]",[0. 0. 0. 0. 0.],"[ 8340.44009405 14406.48986884  1000.57187409    80.23325726
    73.37794541]"
8,0,9,1,"[0.536936, 0.518421, 0.483044, 0.512007, 0.65581, 0.200176, 0.437936, 54.3866, 1.06247, 59.2176]",inf,inf,"[ 8957.87052352 18171.91006186  2468.07074187    78.77753386
    65.01428606]",[0. 0. 0. 0. 0.],"[ 8340.44009405 14406.48986884  1000.57187409    80.23325726
    73.37794541]"
9,0,10,1,"[0.747085, 1.32846, 0.678963, 0.347108, 1.06242, 0.683003, 5.81595, 1.02026, 1.49608, 40.6631]",inf,inf,"[  387.33915741 13576.7106588   2058.14058       76.55466594
   245.78657964]",[0. 0. 0. 0. 0.],"[ 8340.44009405 14406.48986884  1000.57187409    80.23325726
    73.37794541]"
10,0,11,1,"[45.7103, 2.1019, 2.12696, 1.97023, 47.0671, 0.935322, 1.0617, 9.8178, 2.12651, 1.41572]",inf,inf,"[ 1067.25090234 11482.35210984  1733.64287453   108.93055369
   349.87918001]",[0. 0. 0. 0. 0.],"[ 8340.44009405 14406.48986884  1000.57187409    80.23325726
    73.37794541]"
11,0,12,1,"[2.45565, 0.499061, 0.510687, 0.850109, 0.987257, 3.50348, 4.99335, 11.2009, 1.21505, 57.6698]",inf,inf,[2046.68857656 8281.11975639 4472.00078864   91.41792695   24.97672947],[0. 0. 0. 0. 0.],"[ 8340.44009405 14406.48986884  1000.57187409    80.23325726
    73.37794541]"
12,0,13,1,"[32.4898, 1.88842, 1.72552, 1.56274, 39.6536, 2.23825, 0.988411, 40.7624, 1.4267, 8.4495]",inf,inf,"[10717.92811831 13275.8929044   3574.44556029   144.4594756
   293.27752025]",[0. 0. 0. 0. 0.],"[ 8340.44009405 14406.48986884  1000.57187409    80.23325726
    73.37794541]"
13,0,14,1,"[0.672044, 0.261891, 0.994644, 0.67592, 66.312, 0.410387, 0.736001, 51.7845, 1.14266, 1.00538]",inf,inf,"[18068.03830576  2749.49408292  1696.38173625   130.73912887
   198.83841849]",[0. 0. 0. 0. 0.],"[ 8340.44009405 14406.48986884  1000.57187409    80.23325726
    73.37794541]"
14,0,15,1,"[9.91612, 1.06446, 0.806148, 2.30141, 29.4503, 3.06615, 4.43188, 35.7696, 6.30976, 36.7648]",inf,inf,"[ 3307.08394234 18550.17160792  2738.82929873   125.08121031
   362.99899268]",[0. 0. 0. 0. 0.],"[ 8340.44009405 14406.48986884  1000.57187409    80.23325726
    73.37794541]"
15,0,16,1,"[1.30682, 1.85154, 1.05462, 1.34172, 12.6778, 1.35273, 6.43913, 8.52683, 1.20879, 1.13962, 2.5815, 1.01569, 1.20274, 1.97684, 1.36052, 68.9665, 1.05501, 14.3982, 5.30033, 2.38271]",inf,inf,"[17666.12182412 12473.44414111  4754.71217014    84.8898342
   134.96394588]",[0. 0. 0. 0. 0.],"[ 8340.44009405 14406.48986884  1000.57187409    80.23325726
    73.37794541]"
16,0,17,1,"[1.23199, 4.89297, 5.1538, 1.50761, 32.24, 1.8965, 1.33695, 37.8884, 3.81376, 1.58751]",inf,inf,"[17917.72436392  8561.82379743  5824.20023574   116.34414978
   310.8478601 ]",[0. 0. 0. 0. 0.],"[ 8340.44009405 14406.48986884  1000.57187409    80.23325726
    73.37794541]"
17,0,18,1,"[6.37515, 0.719977, 0.951189, 1.745, 12.5158, 0.935977, 0.932968, 58.3585, 1.39381, 47.3733]",inf,inf,"[ 2294.91945907 18989.78517414  3249.5606674    107.83896144
   204.06840138]",[0. 0. 0. 0. 0.],"[ 8340.44009405 14406.48986884  1000.57187409    80.23325726
    73.37794541]"
18,0,19,1,"[47.2563, 1.11678, 1.15315, 1.30846, 0.493417, 1.00135, 0.853653, 43.9098, 0.888581, 1.06121]",inf,inf,"[ 4740.53960486 18067.59041125  3868.39743336    50.2870327
   308.57245681]",[0. 0. 0. 0. 0.],"[ 8340.44009405 14406.48986884  1000.57187409    80.23325726
    73.37794541]"
19,0,20,1,"[1.03523, 2.56219, 1.99395, 1.73413, 3.27698, 9.30502, 2.59102, 6.02018, 3.05792, 2.37281, 100.0, 11.6152, 4.71814, 0.13935, 13.5416, 1.67976, 10.0431, 1.35083, 4.71053, 4.45423]",inf,inf,"[ 6532.89803544 10541.16204515  5429.71049655    85.726976
   454.26757546]",[0. 0. 0. 0. 0.],"[ 8340.44009405 14406.48986884  1000.57187409    80.23325726
    73.37794541]"
20,0,21,1,"[5.82705, 3.24574, 2.8679, 16.2379, 10.6235, 3.21997, 2.65012, 35.3275, 9.71626, 5.20305]",inf,inf,"[12467.20231584   316.42485693  5647.18616872   119.08969175
   498.66142523]",[0. 0. 0. 0. 0.],"[ 8340.44009405 14406.48986884  1000.57187409    80.23325726
    73.37794541]"
21,0,22,1,"[13.4396, 2.63362, 0.976801, 1.35822, 34.0434, 2.50252, 85.425, 39.2268, 1.37081, 34.869]",inf,inf,[3446.81016691 2742.71499258 5662.97731519  119.68181615   33.00008636],[0. 0. 0. 0. 0.],"[ 8340.44009405 14406.48986884  1000.57187409    80.23325726
    73.37794541]"
22,0,23,1,"[8.91421, 1.25413, 1.2292, 1.19416, 55.1168, 1.67531, 2.71808, 50.1006, 1.06377, 59.6331]",inf,inf,"[15109.26105205 15077.52376922  5615.12267773   121.15247586
    62.13548099]",[0. 0. 0. 0. 0.],"[ 8340.44009405 14406.48986884  1000.57187409    80.23325726
    73.37794541]"
23,0,24,1,"[0.389363, 42.6275, 4.04226, 0.155282, 93.1754, 46.9475, 1.19161, 32.5637, 6.52266, 29.4251]",inf,inf,[ 397.6026768   524.21973755 1141.5324401    74.62110676  430.01397434],[0. 0. 0. 0. 0.],"[ 8340.44009405 14406.48986884  1000.57187409    80.23325726
    73.37794541]"
24,0,25,1,"[3.3969, 1.35714, 2.22009, 0.203325, 1.15286, 0.5487, 1.51239, 33.6829, 1.38588, 1.66642, 10.2736, 1.4732, 1.55298, 2.44325, 5.69955, 15.4815, 14.2176, 14.8544, 1.28813, 1.42525]",inf,inf,"[10776.62128683 11056.43957372  5210.1544618     62.41733151
   139.59183951]",[0. 0. 0. 0. 0.],"[ 8340.44009405 14406.48986884  1000.57187409    80.23325726
    73.37794541]"
25,1,1,1,"[2.65292, 41.1211, 0.977415, 1.84294, 2.6187, 0.767047, 2.63918, 2.51419, 1.02842, 7.62225]",26.687451049343522,5.703890266720036,[5517.83080751 6593.74733631 3054.84955107   79.10886312  265.88718824],"[ 3.67105891e+03  2.86854311e+03  3.27045916e+02 -1.05678843e+01
 -3.52117876e+00]","[13409.35020357  8346.09604734  3793.44914223    64.03869386
    99.05074454]"
26,1,2,1,"[0.857473, 39.7979, 4.81433, 0.433722, 46.7938, 0.589328, 0.526393, 0.374246, 0.871288, 0.397533]",43.27142446842173,5.703890266720036,"[10093.16688708 13165.71389531  2557.75287966   126.55460844
    30.48649621]",[1709.27659901 -538.67611262  535.491631    -11.2571352    16.79269961],"[13409.35020357  8346.09604734  3793.44914223    64.03869386
    99.05074454]"
27,1,3,1,"[1.25644, 9.92775, 1.12296, 1.04841, 7.71345, 1.03216, 0.986704, 0.9509, 1.21814, 52.0976]",5.703890266720036,5.703890266720036,"[13409.35020357  8346.09604734  3793.44914223    64.03869386
    99.05074454]",[0. 0. 0. 0. 0.],"[13409.35020357  8346.09604734  3793.44914223    64.03869386
    99.05074454]"
28,1,4,1,"[4.19977, 35.0946, 11.8966, 1.52512, 9.9414, 2.26384, 1.59887, 1.11763, 0.942169, 12.5351]",20.89057031654808,5.703890266720036,"[14222.34867232 19038.02206077  3053.288851     100.21797195
   422.33546977]","[-1792.54270119  -327.20945362   486.1679602    -19.01428961
   -15.85910638]","[13409.35020357  8346.09604734  3793.44914223    64.03869386
    99.05074454]"
29,1,5,1,"[1.51859, 45.9886, 6.50573, 0.854124, 35.6115, 0.362203, 0.803876, 13.8244, 4.4787, 0.952582]",18.035075550572827,5.703890266720036,"[16179.16363747  4247.1078677   2662.65223876    66.65639148
   230.05383217]","[-1.71296963e+03  2.54622364e+03  1.46737832e+03 -3.26650473e-01
 -2.09017420e+02]","[13409.35020357  8346.09604734  3793.44914223    64.03869386
    99.05074454]"
30,1,6,1,"[2.14769, 9.2211, 3.91073, 1.20159, 1.32633, 1.32697, 1.51115, 1.17999, 13.4148, 3.29985, 1.64788, 100.0, 1.53026, 3.0075, 1.20953, 3.38323, 48.0355, 10.9013, 8.80335, 1.73812]",25.223519950139423,5.703890266720036,[2666.80575572 8373.36835263 4500.10722041   77.49516915  258.55698827],"[  699.86907906   -48.78414748 -1289.34043034   -25.82135935
   -87.38156871]","[13409.35020357  8346.09604734  3793.44914223    64.03869386
    99.05074454]"
