,Iteration,Particle,Seed,Fitness_vals,p_best_val,g_best_val,position,velocity,g_position
0,0,1,1,"[1.3012, 0.989861, 1.049, 1.46623, 2.52658]",inf,inf,[1846.77189538 3725.20422755 2727.80363522   89.67674742  269.408367  ],[0. 0. 0. 0. 0.],"[ 8340.44009405 14406.48986884  1000.57187409    80.23325726
    73.37794541]"
1,0,2,1,"[0.358833, 49.7937, 0.302318, 0.317495, 85.6223]",inf,inf,"[8.38389029e+03 1.37043900e+04 2.02226125e+03 1.37811744e+02
 1.36937966e+01]",[0. 0. 0. 0. 0.],"[ 8340.44009405 14406.48986884  1000.57187409    80.23325726
    73.37794541]"
2,0,3,1,"[0.46545, 46.7968, 1.20519, 0.940352, 1.20302]",inf,inf,"[13409.35020357  8346.09604734  3793.44914223    64.03869386
    99.05074454]",[0. 0. 0. 0. 0.],"[ 8340.44009405 14406.48986884  1000.57187409    80.23325726
    73.37794541]"
3,0,4,1,"[2.61975, 26.6005, 26.7718, 3.6218, 2.48233]",inf,inf,"[16014.89137351 19365.23151439  2567.1208908    119.23226157
   438.19457615]",[0. 0. 0. 0. 0.],"[ 8340.44009405 14406.48986884  1000.57187409    80.23325726
    73.37794541]"
4,0,5,1,"[0.407255, 0.491086, 28.8795, 0.848866, 1.27738]",inf,inf,"[17892.13327008  1700.8842274   1195.27391616    66.98304196
   439.07125171]",[0. 0. 0. 0. 0.],"[ 8340.44009405 14406.48986884  1000.57187409    80.23325726
    73.37794541]"
5,0,6,1,"[2.56891, 2.38101, 1.57329, 0.614675, 6.68533]",inf,inf,[1966.93667666 8422.1525001  5789.44765075  103.3165285   345.93855698],[0. 0. 0. 0. 0.],"[ 8340.44009405 14406.48986884  1000.57187409    80.23325726
    73.37794541]"
6,0,7,1,"[1.21575, 1.28372, 0.772925, 2.21017, 0.037825, 1.51089, 0.529575, 2.75374, 0.6334, 2.88633, 2.3971, 27.5115, 1.29073, 4.40958, 3.6309]",inf,inf,"[ 6310.31262012 13730.01855363  5173.12835949    51.82882773
   375.07215747]",[0. 0. 0. 0. 0.],"[ 8340.44009405 14406.48986884  1000.57187409    80.23325726
    73.37794541]"
7,0,8,1,"[34.5581, 0.735072, 0.683506, 0.73485, 3.46993]",inf,inf,"[19777.22177813 14963.3130876   2402.21996032   128.92793285
    51.61300329]",[0. 0. 0. 0. 0.],"[ 8340.44009405 14406.48986884  1000.57187409    80.23325726
    73.37794541]"
8,0,9,1,"[24.7819, 2.21582, 2.261, 0.52873, 0.628819]",inf,inf,"[ 8957.87052352 18171.91006186  2468.07074187    78.77753386
    65.01428606]",[0. 0. 0. 0. 0.],"[ 8340.44009405 14406.48986884  1000.57187409    80.23325726
    73.37794541]"
9,0,10,1,"[1.09021, 0.737852, 0.726865, 0.60086, 0.997504, 0.335275, 0.79285, 0.972645, 0.892732, 2.04751, 0.7222, 0.426404, 0.564425, 0.382175, 0.33928]",inf,inf,"[  387.33915741 13576.7106588   2058.14058       76.55466594
   245.78657964]",[0. 0. 0. 0. 0.],"[ 8340.44009405 14406.48986884  1000.57187409    80.23325726
    73.37794541]"
10,0,11,1,"[0.568792, 0.654186, 1.27124, 2.29007, 2.2922]",inf,inf,"[ 1067.25090234 11482.35210984  1733.64287453   108.93055369
   349.87918001]",[0. 0. 0. 0. 0.],"[ 8340.44009405 14406.48986884  1000.57187409    80.23325726
    73.37794541]"
11,0,12,1,"[1.06273, 0.783339, 0.738978, 2.0356, 1.04433, 26.1269, 1.40394, 0.882145, 0.510551, 0.364479, 0.929324, 2.14528, 1.27105, 0.1855, 0.494583]",inf,inf,[2046.68857656 8281.11975639 4472.00078864   91.41792695   24.97672947],[0. 0. 0. 0. 0.],"[ 8340.44009405 14406.48986884  1000.57187409    80.23325726
    73.37794541]"
12,0,13,1,"[2.6824, 24.8978, 1.10612, 0.418425, 3.59558]",inf,inf,"[10717.92811831 13275.8929044   3574.44556029   144.4594756
   293.27752025]",[0. 0. 0. 0. 0.],"[ 8340.44009405 14406.48986884  1000.57187409    80.23325726
    73.37794541]"
13,0,14,1,"[0.187008, 1.09512, 25.8328, 37.4166, 0.579537]",inf,inf,"[18068.03830576  2749.49408292  1696.38173625   130.73912887
   198.83841849]",[0. 0. 0. 0. 0.],"[ 8340.44009405 14406.48986884  1000.57187409    80.23325726
    73.37794541]"
14,0,15,1,"[1.04924, 0.923288, 1.06219, 1.04942, 1.25158, 2.85645, 26.8837, 3.84485, 0.866997, 3.31258, 33.4879, 1.5222, 1.04189, 0.92326, 3.74333]",inf,inf,"[ 3307.08394234 18550.17160792  2738.82929873   125.08121031
   362.99899268]",[0. 0. 0. 0. 0.],"[ 8340.44009405 14406.48986884  1000.57187409    80.23325726
    73.37794541]"
15,0,16,1,"[2.27667, 0.07575, 1.32624, 4.4536, 1.35509]",inf,inf,"[17666.12182412 12473.44414111  4754.71217014    84.8898342
   134.96394588]",[0. 0. 0. 0. 0.],"[ 8340.44009405 14406.48986884  1000.57187409    80.23325726
    73.37794541]"
16,0,17,1,"[1.86375, 1.66249, 0.612375, 0.4323, 2.89075]",inf,inf,"[17917.72436392  8561.82379743  5824.20023574   116.34414978
   310.8478601 ]",[0. 0. 0. 0. 0.],"[ 8340.44009405 14406.48986884  1000.57187409    80.23325726
    73.37794541]"
17,0,18,1,"[35.1134, 1.03698, 23.5138, 1.63026, 0.644175]",inf,inf,"[ 2294.91945907 18989.78517414  3249.5606674    107.83896144
   204.06840138]",[0. 0. 0. 0. 0.],"[ 8340.44009405 14406.48986884  1000.57187409    80.23325726
    73.37794541]"
18,0,19,1,"[2.46893, 1.09306, 29.3806, 3.41015, 2.55273]",inf,inf,"[ 4740.53960486 18067.59041125  3868.39743336    50.2870327
   308.57245681]",[0. 0. 0. 0. 0.],"[ 8340.44009405 14406.48986884  1000.57187409    80.23325726
    73.37794541]"
19,0,20,1,"[5.306, 3.4692, 2.86703, 1.1645, 0.84985]",inf,inf,"[ 6532.89803544 10541.16204515  5429.71049655    85.726976
   454.26757546]",[0. 0. 0. 0. 0.],"[ 8340.44009405 14406.48986884  1000.57187409    80.23325726
    73.37794541]"
20,0,21,1,"[4.3816, 4.60787, 4.52527, 14.2016, 6.5398]",inf,inf,"[12467.20231584   316.42485693  5647.18616872   119.08969175
   498.66142523]",[0. 0. 0. 0. 0.],"[ 8340.44009405 14406.48986884  1000.57187409    80.23325726
    73.37794541]"
