,Iteration,Particle,Seed,Fitness_vals,p_best_val,g_best_val,position,velocity,g_position
0,0,1,1,"[1.3012, 0.989861, 1.049]",inf,inf,[1846.77189538 3725.20422755 2727.80363522   89.67674742  269.408367  ],[0. 0. 0. 0. 0.],"[ 8340.44009405 14406.48986884  1000.57187409    80.23325726
    73.37794541]"
1,0,2,1,"[0.358833, 49.7937, 0.302318]",inf,inf,"[8.38389029e+03 1.37043900e+04 2.02226125e+03 1.37811744e+02
 1.36937966e+01]",[0. 0. 0. 0. 0.],"[ 8340.44009405 14406.48986884  1000.57187409    80.23325726
    73.37794541]"
2,0,3,1,"[0.46545, 46.7968, 1.20519]",inf,inf,"[13409.35020357  8346.09604734  3793.44914223    64.03869386
    99.05074454]",[0. 0. 0. 0. 0.],"[ 8340.44009405 14406.48986884  1000.57187409    80.23325726
    73.37794541]"
3,0,4,1,"[2.61975, 26.6005, 26.7718]",inf,inf,"[16014.89137351 19365.23151439  2567.1208908    119.23226157
   438.19457615]",[0. 0. 0. 0. 0.],"[ 8340.44009405 14406.48986884  1000.57187409    80.23325726
    73.37794541]"
4,0,5,1,"[0.407255, 0.491086, 28.8795]",inf,inf,"[17892.13327008  1700.8842274   1195.27391616    66.98304196
   439.07125171]",[0. 0. 0. 0. 0.],"[ 8340.44009405 14406.48986884  1000.57187409    80.23325726
    73.37794541]"
5,0,6,1,"[2.56891, 2.38101, 1.57329]",inf,inf,[1966.93667666 8422.1525001  5789.44765075  103.3165285   345.93855698],[0. 0. 0. 0. 0.],"[ 8340.44009405 14406.48986884  1000.57187409    80.23325726
    73.37794541]"
6,0,7,1,"[1.21575, 1.28372, 0.772925, 1.51089, 0.529575, 2.75374, 0.6334, 2.88633, 2.3971, 27.5115, 1.29073]",inf,inf,"[ 6310.31262012 13730.01855363  5173.12835949    51.82882773
   375.07215747]",[0. 0. 0. 0. 0.],"[ 8340.44009405 14406.48986884  1000.57187409    80.23325726
    73.37794541]"
7,0,8,1,"[34.5581, 0.735072, 0.683506]",inf,inf,"[19777.22177813 14963.3130876   2402.21996032   128.92793285
    51.61300329]",[0. 0. 0. 0. 0.],"[ 8340.44009405 14406.48986884  1000.57187409    80.23325726
    73.37794541]"
8,0,9,1,"[24.7819, 2.21582, 2.261]",inf,inf,"[ 8957.87052352 18171.91006186  2468.07074187    78.77753386
    65.01428606]",[0. 0. 0. 0. 0.],"[ 8340.44009405 14406.48986884  1000.57187409    80.23325726
    73.37794541]"
9,0,10,1,"[1.09021, 0.737852, 0.726865, 0.335275, 0.79285, 0.972645, 0.892732, 2.04751, 0.7222, 0.426404, 0.564425]",inf,inf,"[  387.33915741 13576.7106588   2058.14058       76.55466594
   245.78657964]",[0. 0. 0. 0. 0.],"[ 8340.44009405 14406.48986884  1000.57187409    80.23325726
    73.37794541]"
10,1,1,1,"[1.7898, 0.948678, 1.24286]",1.1133536666666666,0.846269818181818,[1537.86365614 7802.26294064 2590.79086329   86.07084085  269.08286925],"[-3.08908239e+02  4.07705871e+03 -1.37012772e+02 -3.60590658e+00
 -3.25497756e-01]","[  387.33915741 13576.7106588   2058.14058       76.55466594
   245.78657964]"
11,1,2,1,"[0.642486, 0.395852, 0.696853, 0.692601, 31.1803, 0.505345, 0.583749, 0.923823, 0.841857, 48.5821, 0.445064]",16.818283666666666,0.846269818181818,"[ 6570.68075763 13695.8328296   2029.49296086   131.5802069
    44.1343132 ]","[-1813.20953044    -8.55717833     7.2317122     -6.23153674
    30.44051661]","[  387.33915741 13576.7106588   2058.14058       76.55466594
   245.78657964]"
12,1,3,1,"[0.793825, 4.0408, 1.0867]",16.15581333333333,0.846269818181818,[8690.23889612 9761.57059671 3553.20330364   65.04405189  170.21215229],"[-4.71911131e+03  1.41547455e+03 -2.40245839e+02  1.00535803e+00
  7.11614077e+01]","[  387.33915741 13576.7106588   2058.14058       76.55466594
   245.78657964]"
13,1,4,1,"[2.35791, 2.58518, 0.138175]",18.664016666666665,0.846269818181818,"[ 8847.33248384 19250.63941824  2432.60012705   109.43058603
   432.19629734]","[-7.16755889e+03 -1.14592096e+02 -1.34520764e+02 -9.80167553e+00
 -5.99827880e+00]","[  387.33915741 13576.7106588   2058.14058       76.55466594
   245.78657964]"
14,1,5,1,"[56.8065, 0.377947, 29.2635]",9.925946999999999,0.846269818181818,"[13432.82301643  4734.49808622  1520.15624771    67.69096901
   359.8606109 ]","[-4.45931025e+03  3.03361386e+03  3.24882332e+02  7.07927053e-01
 -7.92106408e+01]","[  387.33915741 13576.7106588   2058.14058       76.55466594
   245.78657964]"
15,1,6,1,"[1.41203, 3.74092, 1.58768]",2.1744033333333332,0.846269818181818,"[ 1902.52652062 10626.31108903  4182.59105115    91.58764585
   322.30721122]","[  -64.41015604  2204.15858892 -1606.8565996    -11.72888265
   -23.63134576]","[  387.33915741 13576.7106588   2058.14058       76.55466594
   245.78657964]"
16,1,7,1,"[1.53155, 2.81955, 2.1489]",3.889605454545455,0.846269818181818,"[ 5475.53517452 13713.52123156  4177.37364151    61.78165551
   312.77778465]",[-834.7774456   -16.49732207 -995.75471797    9.95282777  -62.29437282],"[  387.33915741 13576.7106588   2058.14058       76.55466594
   245.78657964]"
17,1,8,1,"[3.00688, 1.04918, 37.8824]",11.992226000000002,0.846269818181818,"[19539.78609718 14496.40252998  2244.10023897   107.27616101
   137.58532185]",[-237.43568095 -466.91055761 -158.11972135  -21.65177184   85.97231856],"[  387.33915741 13576.7106588   2058.14058       76.55466594
   245.78657964]"
